Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
30896,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0030405469031861477,1.3025055833547428,0.0,-0.00108591863404543,0.223056995924911
30897,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.002558511136888212,1.3025055833547428,0.0,-0.0012867668700029655,0.223056995924911
30898,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0027995290200371796,1.3025055833547428,0.0,-0.0018089722834923336,0.22305657888154265
30899,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0026388504312714507,1.3025055833547428,0.0,-0.000965409692470759,0.22305657888154265
30900,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0026790200784626962,1.3025055833547428,0.0,-0.0012465972228113463,0.223056995924911
30901,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0026388504312712634,1.3025055833547428,0.0,-0.0016482936947264173,0.223056995924911
30902,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0025585111368883993,1.3025055833547428,0.0,-0.0014876151059605013,0.22305657888154265
30903,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0027593593728457476,1.3025055833547428,0.0,-0.000965409692470946,0.22305657888154265
30904,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0024781718425053475,1.3025055833547428,0.0,-0.001728632989109282,0.223056995924911
30905,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.1822391560485893,0.9444811431162131,0.13397664883156155,0.23831600422223806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.003361904080718167,1.3023422392886086,0.0,-0.000563713220556062,0.223056995924911
30906,-0.10302802415205996,-0.06087769852930672,-0.09580832569803698,0.8180967510395766,-0.5086634453723277,-0.20424758948051852,0.17396013184589068,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18224888857210245,0.9444756708066439,0.13401522073475214,0.23830856149116672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.002799529020037367,1.3021788952224742,0.0,-0.00040303463178995865,0.22305678741880683
30907,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180670748987285,-0.5087471051870319,-0.2041677974139191,0.1739487120665228,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18224888857210245,0.9444756708066439,0.13401522073475214,0.23830856149116672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0036029219638671352,1.3021788952224742,0.0,-0.0002825256902154748,0.22305657888154265
30908,-0.10302802415205996,-0.06087769852930672,-0.09580832569803698,0.8181109571550325,-0.5086801263613419,-0.20420604180988086,0.17389331015374673,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18224888857210245,0.9444756708066439,0.13401522073475214,0.23830856149116672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0013935913683349919,1.3021788952224742,0.0,-1.3381598750746926e-06,0.22305678741880683
30909,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.000871385954845437,1.3021788952224742,0.0,3.8831487316544724e-05,0.22305693331026535
30910,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0013534217211433727,1.3021788952224742,0.0,-0.0003226953374070941,0.22305693331026535
30911,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.00191579678182436,1.3021788952224742,0.0,0.00015934042889102881,0.22305693331026535
30912,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0014739306627178568,1.3021788952224742,0.0,0.00015934042889084152,0.22305693331026535
30913,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180741781723435,-0.5087554428470068,-0.20414702033236296,0.17391530257745752,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.001393591368334805,1.3021788952224742,0.0,0.0004806976064230481,0.2230565162691201
30914,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180741781723435,-0.5087554428470068,-0.20414702033236296,0.17391530257745752,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.001514100309909476,1.3021788952224742,0.0,-1.3381598750745842e-06,0.2230565162691201
30915,-0.10302802415205996,-0.06087769852930672,-0.09580832569803698,0.8181109571550325,-0.5086801263613419,-0.20420604180988086,0.17389331015374673,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0012730824267603211,1.3021788952224742,0.0,7.90011345079769e-05,0.22305672480527294
30916,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.001393591368334805,1.3021788952224742,0.0,7.900113450797706e-05,0.22305693331026535
30917,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0014337610155264243,1.3021788952224742,0.0,0.00040035831203999656,0.22305693331026535
30918,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180741781723435,-0.5087554428470068,-0.20414702033236296,0.17391530257745752,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0013534217211433727,1.3021788952224742,0.0,0.0004806976064228611,0.2230565162691201
30919,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180741781723435,-0.5087554428470068,-0.20414702033236296,0.17391530257745752,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0009517252492283015,1.3021788952224742,0.0,-8.167745425812628e-05,0.2230565162691201
30920,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.001152573485185837,1.3021788952224742,0.0,7.900113450816403e-05,0.22305693331026535
30921,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181477271446627,-0.5086048042840272,-0.20426506104267014,0.17387131581851947,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0011927431323774565,1.3021788952224742,0.0,0.0002396797232740802,0.22305693331026535
30922,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180741781723435,-0.5087554428470068,-0.20414702033236296,0.17391530257745752,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18240118260139382,0.9444829020732762,0.13389340661408877,0.23823184493708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36719746066985975,0.0,0.0011525734851858373,1.3021788952224742,0.0,-0.0002021863958324232,0.2230565162691201
