Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
TB,44508,-0.107459263547855,-3.47670872674179E-05,-0.090180247519008,-0.354010506218225,0.923545987633834,0.145937388556654,-0.02101544274638,0.103109361964253,0.024406080214861,-0.062471989007824,-0.38437010090988,0.839073612866595,0.115936451858712,0.367115563342037,0.002131458750214,-0.000267622003378,0.000158891965666,0.003048771703571,0.007011476182588,-0.011219467220271,-0.008792567571838,0.007624629690679,0.004447755095612,0.274783768514306,-0.270526410724986,-0.865181476510926,-0.674937681266842,0.010680693547297,-0.10280647344641,1.35003870659982,-0.113814960507866,-4.15078070665079E-05,0.213785520222083
TB,44509,-0.107430864586379,-3.64496021523636E-05,-0.090240255995847,-0.353528470452085,0.923786825507547,0.145573553866786,-0.021068032966834,0.103315304789773,0.024367079495982,-0.062783891331041,-0.391282258657325,0.839576185837628,0.108435366445667,0.36090413344565,0.00145759532501,0.001003519651455,-0.000885514606361,-0.003297971302915,0.004363989796899,-0.013046830276844,-0.00733114017468,0.005564102901366,0.00617490680857,0.099357133308276,-0.141583004186635,-0.470554764132272,-0.674937681266842,-0.00786825093805,-0.103168000271133,1.35036539473209,-0.001241736542935,-0.000443204278981,0.213923659513791
TB,44510,-0.107409148665075,-4.3810928846034E-05,-0.090274151236787,-0.353500801189035,0.92380278078958,0.14554836924221,-0.021006617411732,0.103521519313992,0.024317284638274,-0.063014855276831,-0.394670745538076,0.840202716511396,0.105186849005704,0.356693320065769,0.001043030469837,0.001317039792758,-0.001088064884379,-0.006168783921364,0.006111003880765,-0.004493879643351,-0.005130432001751,0.005594445142762,0.006480119392908,-0.079890728477755,-0.170315024917162,-0.168393656663742,-0.674774337200708,0.001686833761945,-0.104252580745303,1.35020205066595,0.035249239643202,7.90011345081641E-05,0.214075404676853
TB,44511,-0.107346298113822,-6.2156062551247E-05,-0.090366869520613,-0.353047719812328,0.924044311344036,0.145064272233201,-0.02134889059166,0.103880456545877,0.024174962513357,-0.063244241118822,-0.401555631827082,0.839427124544684,0.096947962211528,0.3531519074699,0.001664598432648,0.001595836494665,-0.001531607372085,0.020478675652437,-0.014911741702672,0.005973150281791,-0.001129894696801,0.00663754766721,0.007156530787013,0.062822005277927,-0.116633023665817,-0.277669608507199,-0.674610993134573,0.041140776856997,-0.103328678859899,1.35020205066595,0.01758919178769,-0.000644052514939,0.214335757101687
TB,44512,-0.107300850594975,-5.03308631624776E-05,-0.090424855872133,-0.353054907288538,0.924051792509719,0.145034594312046,-0.021106483643602,0.104087804480777,0.023986934263284,-0.063355571695,-0.402969560924687,0.839548014170874,0.09288739908411,0.352344428026464,0.001872077531201,0.00103407431162,-0.001804891576258,-0.002169126005929,0.018040969205937,0.006225568455084,0.000901481904693,0.007868260256231,0.007832067113114,0.410875050463814,0.075595421632376,-0.644483898594621,-0.674447649068439,-0.004601658656208,-0.104935464747559,1.33958468636722,0.257461492831641,0.001484938786211,0.214466080663951
TB,44513,-0.107239192592585,-5.01287299255896E-05,-0.090499978819615,-0.352719701749201,0.924271883207476,0.144477057989635,-0.020896832887294,0.104283635791314,0.023731714939507,-0.063453755464133,-0.405083024272529,0.839755667854029,0.088400629968097,0.35057594095217,0.002126932008919,0.002022813517321,-0.002152402714568,0.042675812548137,0.028154395874041,0.068066271940676,0.002046030360544,0.010531924708462,0.005341421125963,-0.194159895749202,0.013208752032011,-0.175771873355838,-0.674447649068439,-0.001726206652407,-0.104332920039687,1.33272423558958,-0.716378822074625,-0.002973892052046,0.214566962073933
TB,44514,-0.10716332094615,-3.91932456002527E-05,-0.090581980731796,-0.352503090997037,0.92444037941413,0.144085308542234,-0.019773204304916,0.104479810619782,0.02338183462578,-0.063539782428048,-0.408200219175424,0.839648692871951,0.080264432485426,0.349170838560943,0.002266420767829,0.001796348307153,-0.002188741705587,-0.010810383141886,0.022371082932107,0.00714572680748,0.00337154121399,0.01024847780335,0.008105656697992,0.168755191695181,0.213886180200093,-0.48609973826515,-0.674774337200708,0,-0.104654277217219,1.31736989337296,-0.903902867230955,-0.006749838888047,0.214645382374477
TB,44515,-0.107083283441042,-2.574933297219E-05,-0.09067941340606,-0.352374987739399,0.924552865453648,0.143741586539541,-0.019293089337944,0.104724184186332,0.022870202694264,-0.063620870941008,-0.40797222380572,0.841217808167777,0.072637360231257,0.3473256076408,0.001986165036265,0.000903694033211,-0.001777493981936,-0.005790958440898,0.018955592031076,0.003130543963953,0.005811738273769,0.010300582240063,0.006299507111512,0.07961118847668,0.182215210153316,-0.522338152545124,-0.674774337200708,0,-0.103971393214963,1.27424705991351,-0.761748770107265,-0.005102883353195,0.214752864200429
TB,44516,-0.107020454646744,5.01494045436132E-06,-0.090752462565485,-0.352159088861135,0.924688557049206,0.143500254137959,-0.018512851133564,0.104848973000085,0.022531818032673,-0.063616714474383,-0.407769140248688,0.842185413215791,0.066936367220083,0.346363365226132,0.002601755626337,0.000199240495722,-0.002925986384933,0.012800292010065,0.1408339777692,0.03751898680072,0.007405255103745,0.008609465803089,0.004900928728327,-0.028537321012546,0.188159455036513,-0.399998729239556,-0.674774337200708,0,-0.10360986639024,1.23390107557835,-1.27934001479828,-0.005143053000387,0.214784683004665
TB,44517,-0.106944044474281,6.05401409144142E-05,-0.090848556149764,-0.35179347062649,0.924870731448953,0.143315423179652,-0.017781271396763,0.104991432082144,0.022072284472154,-0.063496169603367,-0.416198331645848,0.840123768728551,0.050920507876572,0.344061191985003,0.002298659315418,0.000301035405202,-0.001635358642165,-0.000117523826802,0.019451739331076,0.000570531420425,0.007181399134828,0.005008336494152,0.003276478776494,0.162119283253379,0.184271951875,-0.346669690500771,-0.675101025332976,-0.004015913509531,-0.103971393214963,1.15500589163549,-1.92548971996801,-0.003737115348684,0.214823918969668
