Predicted Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
TB,2881,-0.013936154998965,1.24814652332886,0.70837599971933,-0.449248776163007,0.859537396596736,-0.232662753211253,0.072381242293192,0.012472240260586,1.24554968357675,0.704675062603008,0.771580973017031,0.390951919436854,-0.489204752374786,-0.111794941838416,-0.00982307523312,-0.008149953824295,0.007520935387994,0.325573558668237,-0.4099303093183,0.232279553641402,0.003237071101193,0.000797317895493,-0.000346958915002,0.001556707297352,-0.006990157973953,-0.045252715786838,-0.685881733697839,0.010117001632318,-0.081315712198958,1.39675510951422,0,0.001966974552508,0.026792608167586
TB,2882,-0.013379968463527,1.24816585746408,0.708195545306904,-0.442960699304166,0.861107843084754,-0.234298331326593,0.08592667448157,0.01251689620625,1.24570705515433,0.704527237313688,0.769449668260986,0.394277894700257,-0.489541264577545,-0.113320342567473,-0.00755185720598,-0.006973014179147,0.00864496299442,0.316866302031287,-0.437602253655822,0.556852885816446,0.006806531766919,0.000148549875242,0.000317640068751,0.021996125788312,-0.176380793830439,-0.443684766755824,-0.68555504556557,0,-0.083806230324831,1.39626507731582,-0.012087942547491,0.002087483494083,0.026270702161462
TB,2883,-0.013020796053758,1.24818320343471,0.708033443298582,-0.438794740090306,0.861979474119718,-0.235209956711075,0.095534488690472,0.012548332985057,1.24581310751764,0.704423087150925,0.768088010109377,0.396789500811671,-0.489463755617344,-0.114123322370178,-0.006631572761178,-0.004436774885354,0.00898441492193,0.23372930849789,-0.32042687479591,0.266484424603701,0.008551846634088,7.65136349083028E-05,-0.000190205491492,-0.049005927136013,-0.097529506837707,-0.394005546299314,-0.686371765896242,0,-0.079829435252873,1.39642842138195,-0.017627800721758,0.001123411961487,0.025931301278042
TB,2884,-0.012639083584062,1.24821112842953,0.707813433890355,-0.432149643163902,0.864035070708975,-0.235568210139228,0.105819189517068,0.012659633131337,1.24613521547557,0.704081795753678,0.765959312897747,0.400290124292069,-0.489572179904305,-0.115729114933091,-0.005915577209054,-0.002718230738017,0.008358786209603,0.235774194526671,-0.33110727622909,0.39641167030045,0.010778094840816,0.0007262794955,0.000332603225,0.05122390435475,-0.210710613153178,-0.439979764901334,-0.686208421830107,0,-0.081476390787724,1.39626507731582,-0.051048396059361,0.001846465610934,0.025656570410355
TB,2885,-0.012466076523609,1.24824713512742,0.707694360882382,-0.428571875480542,0.864891776203099,-0.235993415910505,0.11222954446237,0.012718424565469,1.24628690807461,0.703917907565445,0.765390931990929,0.401792747484379,-0.48915097624736,-0.116063050671892,-0.006109112776271,-0.001928663387506,0.007968739326733,0.279711516427017,-0.384783017301725,0.460579661328144,0.01087802566425,0.001746853804243,-0.000312655826899,0.091661345338079,-0.066363630991848,0.057926844126816,-0.686208421830107,0,-0.081556730082107,1.39659176544809,-0.053759693167016,0.000320019017657,0.02554140138793
TB,2886,-0.012195302475052,1.24834333603254,0.707446787111914,-0.422936659198202,0.865997196242573,-0.236504564063554,0.123446464442587,0.012827377050776,1.24653077610177,0.703643854307811,0.765094851808664,0.40198304030524,-0.48944668161941,-0.116109641695179,-0.005503572044854,0.000866141563963,0.006767607059934,0.265388334012806,-0.375397443240308,0.410863114939003,0.012981203809567,0.001834977987589,-0.000321803321876,0.005821008898007,0.002754450558728,0.014759498860095,-0.686208421830107,-0.00017788810442,-0.081797747965256,1.39577504511742,-0.108953200894916,0.001926804905317,0.02537483324216
TB,2887,-0.011999441507962,1.24847430196465,0.707189907850327,-0.415736990529665,0.867789535336982,-0.236390109028474,0.134995531105543,0.012987348550218,1.24688863777291,0.703238387609724,0.764151889273594,0.40429519258815,-0.488951806804847,-0.11637619168878,-0.005437740097397,0.002845251908358,0.00575072814435,0.188071393316871,-0.380537213504845,0.536566772668543,0.014082833397573,0.002221675462164,-0.000373301665873,-0.079161296566484,0.060807395409177,-0.022425112752307,-0.686371765896241,-0.011856492371221,-0.080672997843895,1.39675510951422,-0.163339661518397,0.000119170781699,0.025346962748078
TB,2888,-0.01188761842871,1.24863424873712,0.706988383553667,-0.410938437843589,0.86886096827377,-0.236096409976975,0.143068876101762,0.013149185163527,1.2472370246873,0.702845479841742,0.76152346145084,0.406967429420033,-0.490414706452051,-0.118122583559331,-0.006477788850932,0.004653513026225,0.005904232808993,0.23819767622179,-0.399208075521655,0.450782323434572,0.013138842553865,0.002088826279768,-0.000709208046563,0.049315721686119,-0.202149248133369,-0.454278190122546,-0.686371765896242,0.08842326524641,-0.079066211956235,1.39642842138195,0.120253278478491,0.003654099734551,0.025415692403079
TB,2889,-0.011787937090876,1.24883382423561,0.706765248654828,-0.407571184686186,0.869270322711968,-0.235770102371792,0.150556614910554,0.013277482116546,1.24747584529339,0.702577829640195,0.760554562220971,0.408586128665772,-0.490337475444621,-0.119093633420851,-0.006551923731289,0.006085307359604,0.005888046260394,0.235109663939095,-0.386087319381379,0.30093443751613,0.011422702171918,0.002188240123389,-0.001095109611962,0.039364122329887,-0.171925321516243,-0.388807841595848,-0.685718389631704,0.0625768771304,-0.079990113841639,1.39610173324968,-0.024482579447104,-0.000121847101449,0.025449043692356
TB,2890,-0.011714262602854,1.24904481037167,0.706537557432097,-0.404475810358805,0.869620299819,-0.235114431274019,0.15773730435124,0.013408222294105,1.24768224011907,0.702343869873611,0.758948700708229,0.412147310985785,-0.489763227484854,-0.119429664422611,-0.005650149145205,0.00674930667302,0.005073841155087,0.163770445134207,-0.367335223818182,0.324976829284476,0.010825303453423,0.001955592583794,-0.001523970309953,-0.309661600171893,-0.101056165780099,-0.623695878409627,-0.68669845402851,-0.18686663944075,-0.081315712198959,1.39659176544809,0.009169681903195,0.001966974552508,0.025506525840054
TB,2891,-0.011650994845839,1.24926399292245,0.706259518399499,-0.400478642770006,0.870160758164433,-0.233785493118593,0.166677697497566,0.013582031500399,1.24788079966012,0.70209967484614,0.756122700048544,0.418758530527976,-0.488831404564283,-0.118167734568535,-0.003339080218976,0.004920517928916,0.004514414925587,0.111245893823297,-0.330568250416968,0.179290650724354,0.006787333885536,0.002857630559666,-0.001194573628421,-0.177594513282298,-0.202717683618472,-0.397693821206706,-0.687025142160779,-0.244041906081465,-0.080753337138278,1.39446829258834,-0.2674042345494,0.000360188664849,0.025610996477672
TB,2892,-0.011608360154659,1.24936053183335,0.706107140240346,-0.397889629301608,0.870313996726519,-0.232783455996015,0.173347202488798,0.013703129748304,1.24797179519265,0.701950709824348,0.753352264461321,0.424808069907432,-0.488218490622645,-0.116795439922408,-0.002321115808953,0.002623818986838,0.003733450062063,0.206615877210797,-0.381116066085181,0.34805815210332,0.004355120130645,0.002333616716183,-0.000843345902168,-0.157458652782448,-0.268387589252705,-0.484625541757101,-0.686045077763973,0.112322925499825,-0.080713167491086,1.39267150786087,-0.017134253511335,0.001043072667104,0.025688052171545
TB,2893,-0.01153046590982,1.24941033950125,0.706000140439668,-0.395475997540291,0.870499909935587,-0.231042798808389,0.18013291562186,0.013792088503205,1.24805224341455,0.701811917711972,0.748605850656911,0.434267578056393,-0.487057228281867,-0.117372089483242,-0.003290846933343,0.00044350903263,0.003930837218884,0.188745601824935,-0.408815439845853,-0.038882937984243,0.005589274257625,0.002347427409091,-0.000462029415166,-0.230395308181366,-0.074356443146598,-0.614800396060635,-0.686045077763973,0.042269742049008,-0.082078935495597,1.38270751982667,-0.892480798252639,-0.0079147586566,0.025702478413533
TB,2894,-0.011328571510791,1.2494514586101,0.705880584691821,-0.392173295401556,0.870132370707253,-0.231652064497327,0.188167704017944,0.013871882940827,1.24812275359248,0.701644770430215,0.742731258468746,0.44572402741886,-0.485334584468564,-0.118872663777967,-0.005372095608568,-0.001148005618318,0.006698009364385,0.257424312512751,-0.319988876210889,0.094658826527896,0.003060281484176,0.002539037196954,0.000249501671397,-0.291458422107617,-0.154993642210937,-0.702293099745222,-0.68555504556557,0,-0.084448944679895,1.36212616749375,-0.447563467644477,-0.006950687124004,0.025588483426157
TB,2895,-0.011051414799719,1.24953927426939,0.705765470946907,-0.389897319081704,0.869214925340314,-0.233195183346135,0.19510382006177,0.013879467555443,1.24813385195366,0.701535497477533,0.739007546297694,0.453419830543991,-0.48399279428476,-0.118445256827576,-0.009606822540793,-0.001232660277761,0.008644731974541,0.393528765708774,-0.350248730634051,-0.058647482281184,0.002385285574072,0.001824308710319,0.002094953689517,-0.2713649188025,-0.277082590916334,-0.755049579778238,-0.685881733697838,0.151925588891853,-0.082400292673129,1.346608481211,-0.811879528316086,-0.005343901236344,0.025326207423223
TB,2896,-0.010528744342769,1.24973923831372,0.705510371842995,-0.386772834860014,0.867678981753545,-0.23686830112365,0.203551877319457,0.013842652097662,1.24809891277497,0.701398364254205,0.733891244736788,0.462953393175255,-0.482818343426536,-0.118170401950156,-0.012322100888205,-0.000668070083433,0.011549252966383,0.317915051522444,-0.289734081979159,0.379902367275067,0.002222602268069,0.002920350965572,0.004516645484654,-0.35987804787825,-0.126865620422518,-0.597473972585906,-0.686045077763973,-0.014567167830157,-0.08244046232032,1.33272423558958,-0.564287417227737,-0.006548990652089,0.024770228879443
TB,2897,-0.010064625656826,1.24995407872802,0.705281202040042,-0.382901765324817,0.86717061078391,-0.238461976133768,0.211038517437402,0.01375342105946,1.24797679885912,0.701164245990846,0.725802767311138,0.477466033481238,-0.480799582225995,-0.118609829131048,-0.013615666742189,7.67888361447954E-05,0.013151109953989,0.360604888986502,-0.341191069887749,0.35736292385064,-0.001205943214834,0.00552680062734,0.006651824036854,-0.249301582100105,-0.212130715501373,-0.63348355626409,-0.685881733697839,0.082619142465484,-0.081596899729299,1.31099947479373,-0.485031972985261,-0.000121847101449,0.024251975428202
TB,2898,-0.009599549647271,1.25015668207641,0.705033800158688,-0.379756661641636,0.866584417887966,-0.239434472663794,0.217916171755991,0.013674419244344,1.24780803008393,0.700952563368872,0.718900619778248,0.489328023530261,-0.479111286456775,-0.119131689571474,-0.012560071069062,-7.72104634516179E-05,0.012897691559073,0.26492071782189,-0.315868825542143,0.249729531988282,-0.001543599768658,0.007074195531889,0.007676395299005,-0.371489082073164,-0.21577076234554,-0.815484186710236,-0.68555504556557,0.07379733083846,-0.08324385526415,1.30854931380171,-0.009207397516671,-0.001447445458769,0.023745531956227
TB,2899,-0.009149945443516,1.25032065780657,0.704809865364737,-0.376997226075418,0.865644956096547,-0.240435822113784,0.225216600099806,0.013622951154807,1.24754749141384,0.700726712390949,0.713777000664294,0.498666356668651,-0.477506368484048,-0.117651715272983,-0.011018574390035,-0.00111468149529,0.012567689697694,0.350905529287664,-0.449978602180383,0.158967041068331,-0.003148676402616,0.008321705510861,0.008136116327046,-0.499037843501971,-0.238071538329264,-0.774663494885166,-0.686371765896242,0,-0.080833676432661,1.30152551895794,-0.05981659183274,0.002770367496338,0.023301661089438
TB,2900,-0.008648629032221,1.25039744200439,0.704582239799797,-0.375181155004133,0.865319006696596,-0.239089823112078,0.230863973074222,0.013553824462884,1.24712806088397,0.700399540687376,0.704328707495118,0.514013424779967,-0.475561979270481,-0.116413379027359,-0.004514371316827,-0.003020492042054,0.010353899617075,-0.0893870937522,-0.060463027077597,-0.007007915343924,-0.00372431206301,0.009730151524378,0.009274358374771,-0.450734274264104,-0.282632532175108,-1.03635347148399,-0.686371765896241,-0.164235917118969,-0.081998596201214,1.29548178851097,-0.683822655062641,-0.005022544058812,0.022828332527321
TB,2901,-0.008384798900802,1.25037520625226,0.704512036934273,-0.374684442301867,0.865480404842238,-0.238204993942625,0.231977624765512,0.013504854636501,1.24677196313527,0.700135386614887,0.696510364102755,0.526564420500695,-0.473670063450371,-0.115064741563767,-0.004080287339588,-0.003631360139933,0.004432778795133,-0.007752188120304,-0.036612777936117,0.041512755064309,-0.00548196586762,0.00943606111149,0.010183239621597,-0.483149678545673,-0.385647212547475,-0.887747277333533,-0.68669845402851,0.05358955822452,-0.077620104657341,1.29139818685761,-3.93305126835663E-05,-0.000885070398088,0.022611841166996
TB,2902,-0.008094404773599,1.25031666503574,0.704489851589779,-0.374927220934255,0.865346372640899,-0.237603508081789,0.232701111529323,0.013462983380305,1.24640859990648,0.699877115898306,0.68884457456327,0.538769636609097,-0.471801291283102,-0.112356452001863,-0.003401208559855,-0.004036891748062,0.002694302178058,0.014994854370411,-0.065017191788075,-0.010379871032662,-0.005202650029362,0.009336739690126,0.0096718295593,-0.590121324622339,-0.202517978199924,-0.443907346542081,-0.686208421830107,-0.084229258334373,-0.082319953378746,1.29107149872534,-0.019210669229177,-0.002090159813833,0.022389088584219
TB,2903,-0.007948676106798,1.25030365773907,0.704505987282757,-0.375277531518865,0.865107707967161,-0.23707644063008,0.233559819427667,0.013394700627819,1.24592662567862,0.699560355449089,0.681774128274746,0.550260323059253,-0.469973786423833,-0.107341767063812,-0.001682500901332,-0.002611654564993,0.001956312488995,-0.020408507134634,-0.012787287242103,-0.002598602439974,-0.004818593592153,0.007427553800992,0.009395609948841,-0.451031297213328,-0.211720263422468,-0.497602957198378,-0.68669845402851,-0.031831607539802,-0.079708926311299,1.29074481059307,-0.001841510226823,-0.000925240045279,0.022341831042423
