Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort
1650324155134451229,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.01075311916395368,0.12365145806364938,0.0,0.0037344390289343016
1650324155167794745,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.01011040480888983,0.12365145806364938,0.0,0.0038549479705087854
1650324155201866088,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010873628105528166,0.12365145806364938,0.0,0.00405579620646632
1650324155234141504,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.011074476341485699,0.12365145806364938,0.0,0.0036540997345512497
1650324155267962881,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010672779869570628,0.12365145806364938,0.0,0.004176305148040618
1650324155301235018,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.009668538689783325,0.12365145806364938,0.0,0.00397545691208327
1650324155334040957,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.009708708336974757,0.12365145806364938,0.0,0.004417323031189772
1650324155367263366,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010592440575187764,0.12365145806364938,0.0,0.003533590792976766
1650324155401739865,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370881238507407,-0.1731800559312521,-0.19296877966392137,0.23374679985095898,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09032926857225645,0.0,0.010552270927996144,0.12365145806364938,0.0,0.004658340914338554
1650324155434982808,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370785769972183,-0.17317217506343008,-0.1929758520673905,0.23378506974469898,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09016592450612212,0.0,0.01015057445608126,0.12365145806364938,0.0,0.004136135500849186
